Business Name,Category,Rating,Reviews,Phone,Email,Website,Address,City,State,Country,Postal Code,Opening Hours,Google Maps URL,Scraped At
Casagrand Masseys,Condominium complex,4.4,160.0,+91 90475 60000,"sales@casagrand.co.in, icare@casagrand.co.in, land@casagrand.co.in, ncustomerbankingsupport@casagrand.co.in, saket@casagrand.co.in",https://www.casagrand.co.in/ready-to-occupy/masseys-3bhk-apartments-in-royapuram-chennai/,"N Terminus Rd, Pudumanaikuppam, Royapuram, Chennai, Greater Chennai, Tamil Nadu 600013, India","Chennai, Greater Chennai",Tamil Nadu,IN,600013,,https://www.google.com/maps/search/?api=1&query=Casagrand%20Masseys&query_place_id=ChIJV5wr3GlvUjoRjUNRJwQ-eCg,2026-07-09T14:51:48.857Z
M.G.MOHAN REAL ESTATE,Real estate agency,,,,,,"Asirvada Puram, George Town, Greater Chennai, Chennai, Tamil Nadu 600001, India","Greater Chennai, Chennai",Tamil Nadu,IN,,,https://www.google.com/maps/search/?api=1&query=M.G.MOHAN%20REAL%20ESTATE&query_place_id=ChIJQQ29f1xvUjoRxmpQnUAgN0c,2026-07-09T14:52:18.155Z
YEKOVA CONSTRUCTION ️,Construction company,4.9,28.0,+91 80980 02381,yekovaconstruction@gmail.com,http://yekovaconstruction.com/,"9/3, Thangavelu Pillai Thottam, Kasima Nagar 2nd St, Washermanpet, Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,"Monday: 9 AM to 7 PM, Tuesday: 9 AM to 7 PM, Wednesday: 9 AM to 7 PM, Thursday: 9 AM to 7 PM, Friday: 9 AM to 7 PM, Saturday: 9 AM to 7 PM, Sunday: 9 AM to 7 PM",https://www.google.com/maps/search/?api=1&query=YEKOVA%20CONSTRUCTION%20%EF%B8%8F&query_place_id=ChIJM-KmvkFvUjoRZpTtigiQMVU,2026-07-09T14:51:54.262Z
Sri Kay AMTE Group,Real estate developer,,,,websupport@luxre.com,https://www.tiruthanighairealestates.com/,"No.104, Old.No.82/2, New, 2, Perambur High Rd, Chennai, Tamil Nadu 600011, India",,,,,,https://www.google.com/maps/search/?api=1&query=Sri%20Kay%20AMTE%20Group&query_place_id=ChIJez-8udplUjoRIVSur1IudGs,2026-07-09T14:52:05.956Z
Pawan Kumar REAL ESTATE,Real estate agency,,,+91 97898 20191,,,"472G+RHV, Sabapathi Street, Kondithope, George Town, Chennai, Greater Chennai, Tamil Nadu 600001, India","Chennai, Greater Chennai",Tamil Nadu,IN,600001,,https://www.google.com/maps/search/?api=1&query=Pawan%20Kumar%20REAL%20ESTATE&query_place_id=ChIJY759gfVlUjoRG5fkSmFaMbo,2026-07-09T14:52:21.755Z
Mani Saloon & Real Estate,Real estate agency,,,+91 94453 54423,,,"479G+29X, Sathyamoorthy St, Meenambal Nagar, Korukkupet, Vyasarpadi, Chennai, Greater Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,,https://www.google.com/maps/search/?api=1&query=Mani%20Saloon%20%26%20Real%20Estate&query_place_id=ChIJr9v87YdlUjoRnohcfT-jEtc,2026-07-09T14:52:22.220Z
Shanthi Real-Estate,Construction company,5.0,1.0,+91 90030 93587,,,"police station, 36, Thiruvottiyur High Rd, near H1, Basin Bridge, Kathibada, Washermanpet, Chennai, Greater Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,"Monday: 9 AM to 8 PM, Tuesday: 9 AM to 8 PM, Wednesday: 9 AM to 8 PM, Thursday: 9 AM to 8 PM, Friday: 9 AM to 8 PM, Saturday: 9 AM to 8 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=Shanthi%20Real-Estate&query_place_id=ChIJm4J3JapvUjoRKfCXhQbcRkk,2026-07-09T14:52:23.631Z
PK BUILDERS,Construction company,4.7,12.0,+91 94446 62222,,http://www.pkbuilders.co.in/,"Shanmugarayan St, Thayapa, Bundar Rama Garden, George Town, Chennai, Greater Chennai, Tamil Nadu 600001, India","Chennai, Greater Chennai",Tamil Nadu,IN,600001,"Monday: 9 AM to 7 PM, Tuesday: 9 AM to 7 PM, Wednesday: 9 AM to 7 PM, Thursday: 9 AM to 7 PM, Friday: 9 AM to 7 PM, Saturday: 9 AM to 7 PM, Sunday: 9 AM to 7 PM",https://www.google.com/maps/search/?api=1&query=PK%20BUILDERS&query_place_id=ChIJWWvXqF1vUjoRr0USsePtx5s,2026-07-09T14:52:20.815Z
MKS Real Estate,Real estate agency,,,+91 95662 00433,,,"37/14, Mint Subrayulu St, Meenambal Nagar, Korukkupet, Washermanpet, Chennai, Greater Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,,https://www.google.com/maps/search/?api=1&query=MKS%20Real%20Estate&query_place_id=ChIJhzkbt7BvUjoRpIuD_CGNNtk,2026-07-09T14:52:25.218Z
Mahathi Homes,Construction company,5.0,20.0,+91 89254 05082,mahathihomes@gmail.com,http://www.mahathihomes.in/,"No.133/54, Ground Floor, Solaiappan St, opp. Urban Community Health Centre, Chellapa Colony, Sanjeevarayanpet, Old Washermanpet, Chennai, Greater Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,"Monday: 9 AM to 6 PM, Tuesday: 9 AM to 6 PM, Wednesday: 9 AM to 6 PM, Thursday: 9 AM to 6 PM, Friday: 9 AM to 6 PM, Saturday: 9 AM to 6 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=Mahathi%20Homes&query_place_id=ChIJ1a2ZTHdvUjoRZdoy8AG_L-s,2026-07-09T14:52:16.105Z
Royal Property Consultancy,Real estate consultant,,,,,,"23rd St, B.V.Colony, Saliman Colony, Vyasarpadi, Chennai, Greater Chennai, Tamil Nadu 600039, India","Chennai, Greater Chennai",Tamil Nadu,IN,600039,,https://www.google.com/maps/search/?api=1&query=Royal%20Property%20Consultancy&query_place_id=ChIJIWeJil1lUjoR_0__TiN8Als,2026-07-09T14:52:26.943Z
Suprabath Real Estate,Real estate agency,,,+91 98848 91264,,,"15, B B Road, 39, Perambur, Chennai, Tamil Nadu 600039, India","Chennai, Greater Chennai",Tamil Nadu,IN,600039,,https://www.google.com/maps/search/?api=1&query=Suprabath%20Real%20Estate&query_place_id=ChIJp60cp71lUjoRC7k1DyCjj0Q,2026-07-09T14:52:27.093Z
SNEHA REALITY HOMES - ALCAZAR,Construction company,5.0,13.0,,sneharealityhomes@gmail.com,https://sneharealityhomes.com/,"RAMANUJA KOODAM STREET, Korukkupet, Washermanpet, Chennai, Greater Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,"Monday: 9 AM to 8 PM, Tuesday: 9 AM to 8 PM, Wednesday: 9 AM to 8 PM, Thursday: 9 AM to 8 PM, Friday: 9 AM to 8 PM, Saturday: 9 AM to 7 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=SNEHA%20REALITY%20HOMES%20-%20ALCAZAR&query_place_id=ChIJSUngDxRvUjoRSo7zlRgZKNM,2026-07-09T14:52:25.405Z
Harsham Homes,Apartment building,2.0,1.0,,,,"12, BB Rd, Kakkanji Colony, Chinnaiyan Colony, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,,https://www.google.com/maps/search/?api=1&query=Harsham%20Homes&query_place_id=ChIJV1g_ODtlUjoR-FvHx5lzdbA,2026-07-09T14:52:28.907Z
Sourav Property,Housing development,,,,,,"4734+VPV, N Town Internal Rd, Binny Garden, Jamalia, Chennai, Greater Chennai, Tamil Nadu 600012, India","Chennai, Greater Chennai",Tamil Nadu,IN,600012,,https://www.google.com/maps/search/?api=1&query=Sourav%20Property&query_place_id=ChIJB4LhBQBlUjoR3U0Z9R1U7Ck,2026-07-09T14:52:28.642Z
North Town,Apartment complex,4.0,2576.0,,,,"No. 4,5, 6 7, Stephenson Rd, near Buckingham & Carnatic Gardens, Binny Garden, Perambur, Chennai, Greater Chennai, Tamil Nadu 600012, India","Chennai, Greater Chennai",Tamil Nadu,IN,600012,,https://www.google.com/maps/search/?api=1&query=North%20Town&query_place_id=ChIJr2pK6JRlUjoRZm4HOxpPu8Q,2026-07-09T14:52:31.307Z
Perambur Kumar,Marketing agency,3.9,8.0,,,,"31, B.B.Road, Sriram Nagar, Vyasarpadi, Chennai, Greater Chennai, Tamil Nadu 600039, India","Chennai, Greater Chennai",Tamil Nadu,IN,600039,"Monday: 9 AM to 9 PM, Tuesday: 9 AM to 9 PM, Wednesday: 9 AM to 9 PM, Thursday: 9 AM to 9 PM, Friday: 9 AM to 9 PM, Saturday: 9 AM to 9 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=Perambur%20Kumar&query_place_id=ChIJNTwtub1lUjoR3X9L8xt3cHQ,2026-07-09T14:52:32.009Z
DRS Construction & RE,Construction company,4.7,3.0,+91 70100 71215,,,"Shop No. 23, 1, Paddy Field Rd, Chinnaiyan Colony, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,"Monday: 9 AM to 10 PM, Tuesday: 9 AM to 10 PM, Wednesday: 9 AM to 10 PM, Thursday: 9 AM to 10 PM, Friday: 9 AM to 10 PM, Saturday: 9 AM to 10 PM, Sunday: 9 AM to 10 PM",https://www.google.com/maps/search/?api=1&query=DRS%20Construction%20%26%20RE&query_place_id=ChIJQ6RWBLxlUjoRaDvvVwP69dw,2026-07-09T14:52:33.587Z
Ams Enterprises,Real estate agency,4.0,1.0,,,,"463X+FQH, Hyder Garden 3rd St, Shanthi Nagar, Wadia Nagar, Jamalia, Chennai, Greater Chennai, Tamil Nadu 600012, India","Chennai, Greater Chennai",Tamil Nadu,IN,600012,,https://www.google.com/maps/search/?api=1&query=Ams%20Enterprises&query_place_id=ChIJlbk8r8BlUjoRkVHYw_veoUI,2026-07-09T14:52:34.342Z
SSR REAL ESTATE,Real estate agency,5.0,1.0,+91 94444 79948,,,"36, Chinna Babu St, Nammalwarpet, Purasaiwakkam, Chennai, Greater Chennai, Tamil Nadu 600012, India","Chennai, Greater Chennai",Tamil Nadu,IN,600012,,https://www.google.com/maps/search/?api=1&query=SSR%20REAL%20ESTATE&query_place_id=ChIJTQ8dpsVlUjoReEH_TOwydus,2026-07-09T14:52:36.702Z
Sri Balaji Real Estate,Real estate agency,4.8,4.0,+91 89393 93988,,,"27, Sundaram Street, Arasappa St, opp. Adayar Anandha Bhavan, Salama Nagar, Purasaiwakkam, Chennai, Tamil Nadu 600007, India","Chennai, Greater Chennai",Tamil Nadu,IN,600007,"Monday: 9 AM to 10 PM, Tuesday: 9 AM to 10 PM, Wednesday: 9 AM to 10 PM, Thursday: 9 AM to 10 PM, Friday: 9 AM to 10 PM, Saturday: 9 AM to 10 PM, Sunday: 9 AM to 10 PM",https://www.google.com/maps/search/?api=1&query=Sri%20Balaji%20Real%20Estate&query_place_id=ChIJJ_E-F95lUjoRlDnAq3ucdVg,2026-07-09T14:52:38.332Z
Traventure Helios,Apartment building,5.0,4.0,,sales@traventurehomes.com,https://www.traventurehomes.com/,"BB Rd, Chinnaiyan Colony, Vyasarpadi, Chennai, Greater Chennai, Tamil Nadu 600039, India","Chennai, Greater Chennai",Tamil Nadu,IN,600039,,https://www.google.com/maps/search/?api=1&query=Traventure%20Helios&query_place_id=ChIJD09Q1_hlUjoRnOnKqlpNvcE,2026-07-09T14:52:30.097Z
Akshayaa Properties,Real estate agency,,,,,https://akshayaaproperties.com/,"466X+7PX, Chinnaiyan Colony, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India",,,,,,https://www.google.com/maps/search/?api=1&query=Akshayaa%20Properties&query_place_id=ChIJf5lOdmEVGakRFZFhDkcDRwA,2026-07-09T14:52:25.959Z
REALTY INDIA,Real estate consultant,5.0,19.0,+91 99520 24393,,http://www.realtyindia.in/,"Ground Floor, jain colony, No.44, Choolai, Chennai, Tamil Nadu 600112, India","Chennai, Greater Chennai",Tamil Nadu,IN,600112,"Monday: 9 AM to 5:30 PM, Tuesday: 9 AM to 5:30 PM, Wednesday: 9 AM to 5:30 PM, Thursday: 9 AM to 5:30 PM, Friday: 9 AM to 5:30 PM, Saturday: 9 AM to 5:30 PM, Sunday: 9 AM to 12 PM",https://www.google.com/maps/search/?api=1&query=REALTY%20INDIA&query_place_id=ChIJYxw7ycZlUjoRgnAr1rXF7Uc,2026-07-09T14:52:35.958Z
SPR CITY Highliving Apartment,Condominium complex,4.2,272.0,+91 44 6678 6600,marketing@sprindia.com,http://www.sprhighliving.com/,"Bhanumati Rd, Somasundara Nagar, Jamalia, Chennai, Greater Chennai, Tamil Nadu 600012, India","Chennai, Greater Chennai",Tamil Nadu,IN,600012,,https://www.google.com/maps/search/?api=1&query=SPR%20CITY%20Highliving%20Apartment&query_place_id=ChIJU2jLjQplUjoRu-Dcu4lnhmA,2026-07-09T14:52:32.788Z
Om Sri Sai Real Estate,Real estate agency,,,,,,"17, Paddy Field Rd, Kakkanji Colony, Chinnaiyan Colony, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,,https://www.google.com/maps/search/?api=1&query=Om%20Sri%20Sai%20Real%20Estate&query_place_id=ChIJg_UHvLxlUjoRo4ll40De1YQ,2026-07-09T14:52:42.728Z
ரியல் எஸ்டேட் REAL ESTATE,Real estate agency,,,,,,"47C5+7QG, MKB Nagar West Ave, opposite Old, MKB Nagar, Mahakavi Bharathiyar Nagar Central, Mahakavi Bharathi Nagar, Vyasarpadi, Chennai, Greater Chennai, Tamil Nadu 600039, India","Chennai, Greater Chennai",Tamil Nadu,IN,600039,,https://www.google.com/maps/search/?api=1&query=%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%B2%E0%AF%8D%20%E0%AE%8E%E0%AE%B8%E0%AF%8D%E0%AE%9F%E0%AF%87%E0%AE%9F%E0%AF%8D%20REAL%20ESTATE&query_place_id=ChIJ22oPW5llUjoROQYLCgMorZU,2026-07-09T14:52:42.483Z
Rmrr Real Estate And Land Promoters,Real estate agency,,,,,,"Ramakrishna Street, 47, Melpatti Ponnappa St, Kakkanji Colony, Chinnaiyan Colony, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,,https://www.google.com/maps/search/?api=1&query=Rmrr%20Real%20Estate%20And%20Land%20Promoters&query_place_id=ChIJU7yMsrxlUjoRTBZED4Q-2ew,2026-07-09T14:52:44.479Z
Tiruthanikai Infra City,Construction company,4.9,79.0,+91 93555 36346,tiruthanikaiinfracity@gmail.com,https://tiruthanikaiinfracity.com/,"41, Paddy Field Rd, NELVAYAL NAGAR, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,"Monday: 9 AM to 8:30 PM, Tuesday: Closed, Wednesday: 9 AM to 8:30 PM, Thursday: 9 AM to 8:30 PM, Friday: 9 AM to 8:30 PM, Saturday: 9 AM to 8:30 PM, Sunday: 9 AM to 8:30 PM",https://www.google.com/maps/search/?api=1&query=Tiruthanikai%20Infra%20City&query_place_id=ChIJ4dErGQBlUjoRAk5ysc9HBzQ,2026-07-09T14:52:34.415Z
"Ayyappa Real Estate and Tolet Home Lease, Rent And Sale",Construction company,5.0,6.0,,,,"Puzhal Sivagnanam St, Kakkanji Colony, Chinnaiyan Colony, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,"Monday: 9 AM to 9 PM, Tuesday: 9 AM to 9 PM, Wednesday: 9 AM to 9 PM, Thursday: 9 AM to 9 PM, Friday: 9 AM to 9 PM, Saturday: 9 AM to 9 PM, Sunday: 9 AM to 9 PM",https://www.google.com/maps/search/?api=1&query=Ayyappa%20Real%20Estate%20and%20Tolet%20Home%20Lease%2C%20Rent%20And%20Sale&query_place_id=ChIJKT2MY05lUjoR73WVxT0W5fE,2026-07-09T14:52:47.055Z
Khalifa Real Estate,Construction company,5.0,2.0,,,,"road No.202, masjid e MUQADDAS, floor FF3, P.b, 1 st, Pensioners Ln, Pattalam, Chennai, Tamil Nadu 600012, India","Chennai, Greater Chennai",Tamil Nadu,IN,600012,,https://www.google.com/maps/search/?api=1&query=Khalifa%20Real%20Estate&query_place_id=ChIJGS28bQBlUjoR2kBUJAsfo74,2026-07-09T14:52:47.107Z
Thanigai Thiagarajan (Vice President ),Industrial real estate agency,5.0,101.0,,,,"28/1, Selva Vinayagar Koil Street, Chinnaiyan Colony, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,,https://www.google.com/maps/search/?api=1&query=Thanigai%20Thiagarajan%20(Vice%20President%20)&query_place_id=ChIJQ_PFV7RnUjoRvNc7IP8vAZc,2026-07-09T14:52:48.391Z
SPR India,Construction company,4.2,743.0,+91 75501 35333,marketing@sprindia.com,https://sprindia.com/,"B&C Mills, SPR India, No:1, Cooks Rd, Perambur, Chennai, Tamil Nadu 600012, India","Chennai, Greater Chennai",Tamil Nadu,IN,600012,"Monday: 9:30 AM to 6:30 PM, Tuesday: 9:30 AM to 6:30 PM, Wednesday: 9:30 AM to 6:30 PM, Thursday: 9:30 AM to 6:30 PM, Friday: 9:30 AM to 6:30 PM, Saturday: 9:30 AM to 6:30 PM, Sunday: 9:30 AM to 6:30 PM",https://www.google.com/maps/search/?api=1&query=SPR%20India&query_place_id=ChIJSWyTM0NlUjoR98AKUVaMM5Y,2026-07-09T14:52:42.692Z
SPR CITY - BINNY,Real estate developer,4.3,511.0,+91 44 6678 6600,marketing@sprindia.com,https://sprindia.com/,"B&C Mills, SPR CITY, No:1, Cooks Rd, Perambur, Chennai, Tamil Nadu 600012, India","Chennai, Greater Chennai",Tamil Nadu,IN,600012,"Monday: 9:30 AM to 7 PM, Tuesday: 9:30 AM to 7 PM, Wednesday: 9:30 AM to 7 PM, Thursday: 9:30 AM to 7 PM, Friday: 9:30 AM to 7 PM, Saturday: 9:30 AM to 7 PM, Sunday: 9:30 AM to 7 PM",https://www.google.com/maps/search/?api=1&query=SPR%20CITY%20-%20BINNY&query_place_id=ChIJ1wziPMBlUjoRKF0fk4JnQ8g,2026-07-09T14:52:43.612Z
THANIGAI ESTATE,Real estate agency,4.5,17.0,,"info@thanigaiestates.com, Info@thanigaiestates.com",https://thanigaiestates.com/,"47G7+247, 4th Main Rd, Weavers Colony, Mahakavi Bharathiyar Nagar Central, Mahakavi Bharathi Nagar, Vyasarpadi, Chennai, Greater Chennai, Tamil Nadu 600039, India","Chennai, Greater Chennai",Tamil Nadu,IN,600039,,https://www.google.com/maps/search/?api=1&query=THANIGAI%20ESTATE&query_place_id=ChIJl_TfqZ1lUjoRHMFVPDKb5Qs,2026-07-09T14:52:40.327Z
